oid,matched_via,report_title,db_author,report_author
11204,489 N.W.2d 886,Putney v. Backes,VandeWalle,"Meschke, Herbert"
11090,482 N.W.2d 285,Disciplinary Board v. Anderson (Cross w/ 920226),Erickstad,Per Curiam
20459,493 N.W.2d 219,State v. Keegan,(none),Per Curiam
20460,493 N.W.2d 704,Zacher v. Zacher,(none),Per Curiam
20458,493 N.W.2d 216,Sauer v. Hayes-Sauer,(none),Per Curiam
20464,494 N.W.2d 174,City of Fargo v. Maashio,(none),Per Curiam
20423,503 N.W.2d 849,Interest of P.C.          (CONFIDENTIAL),(none),Per Curiam
11442,502 N.W.2d 252,Disciplinary Board v. Lochow,Erickstad,Per Curiam
20430,497 N.W.2d 101,Schultz v. ND Workers' Compensation Bureau,(none),Per Curiam
11239,491 N.W.2d 703,Disciplinary Board v. Anderson (Con.w/See Docket Memo/Cross-ref. 920078),Erickstad,Per Curiam
20431,497 N.W.2d 431,Culver v. Culver,(none),Per Curiam
20432,497 N.W.2d 434,City of Mandan v. Hoesel,(none),Per Curiam
11466,504 N.W.2d 311,Disciplinary Board v. Nassif,(none),Per Curiam
11325,496 N.W.2d 552,Disciplinary Board v. Baird,Levine,Per Curiam
11750,522 N.W.2d 425,"District Judge Vacancy, Bottineau, NE Judicial District",VandeWalle,Per Curiam
11332,496 N.W.2d 580,Disciplinary Board v. Rau,(none),Per Curiam
11604,512 N.W.2d 723,Weber v. Weber,Levine,"Neumann, William"
11430,501 N.W.2d 733,Disciplinary Board v. Linnerooth,Levine,Per Curiam
11444,502 N.W.2d 504,Disciplinary Board v. Keller,VandeWalle,Per Curiam
11493,506 N.W.2d 714,Disciplinary Board v. Robb,VandeWalle,Per Curiam
11587,512 N.W.2d 454,Disciplinary Board v. Larson (Consol. w/ 930220),VandeWalle,Per Curiam
11479,505 N.W.2d 749,Disciplinary Board v. Schmidt (Consolidated w 930222),Levine,Per Curiam
11504,507 N.W.2d 541,Fode v. Director of the Department of Transportation,Meschke,"VandeWalle, Gerald"
11644,516 N.W.2d 278,"State of ND, Workers Comp. Bureau v. Kostka Food Service",(none),"Meschke, Herbert"
11660,517 N.W.2d 631,Estate of Voeller  (cross/ref. 950035),Levine,Per Curiam
11604,512 N.W.2d 723,District Judge Vacancy - Grafton,Levine,Per Curiam
11750,522 N.W.2d 425,District Judge Vacancy - South Central Judicial District,VandeWalle,Per Curiam
11762,522 N.W.2d 747,Judge Vacancy in the Lisbon Chambers - SE Judicial District,VandeWalle,Per Curiam
11761,522 N.W.2d 746,East Central Judicial Vacancy - Hillsboro,Levine,Per Curiam
11740,521 N.W.2d 643,"Hosman, et al. v. ND State University, et al.",Levine,Per Curiam
11803,525 N.W.2d 250,Morehouse v. Morehouse,Levine,Per Curiam
11760,522 N.W.2d 745,Rugby Judicial Vacancy,Erickstad,Per Curiam
11762,522 N.W.2d 747,"Judicial Vacancy - Wasburn, ND, South Central District",VandeWalle,Per Curiam
11805,525 N.W.2d 251,"Smith v. City of Grand Forks, et al.",Olson,Per Curiam
11644,516 N.W.2d 278,Disciplinary Board v. Kinsey,(none),Per Curiam
11805,525 N.W.2d 251,Dakutak v. Dakutak,Olson,Per Curiam
11817,526 N.W.2d 107,"Ziebarth, et al. v. State, et al.",Levine,Per Curiam
11803,525 N.W.2d 250,"Kieffer, et al. v. Huebner, et al.",Levine,Per Curiam
11690,519 N.W.2d 286,Disciplinary Board v. Bard,Meschke,Per Curiam
11938,533 N.W.2d 691,"Disciplinary Board v. Rau (consolidate w/ 940186, 940187, 940188)",Levine,Per Curiam
11698,519 N.W.2d 311,Disciplinary Board v. Voigt,Levine,Per Curiam
11790,524 N.W.2d 605,"United Accounts, Inc. v. Teladvantage, Inc.  (cross-ref. w/920235 & 920317)",VandeWalle,Per Curiam
11807,525 N.W.2d 252,Lithun v. DuPaul,Levine,Per Curiam
11717,520 N.W.2d 585,Bolinske v. Jaeger,Levine,Per Curiam
11698,519 N.W.2d 311,Disciplinary Board v. Nassif (Cross-reference w/920374),Levine,Per Curiam
11819,526 N.W.2d 113,"Jensen v. Wrolstad, et al.",Levine,Per Curiam
11836,527 N.W.2d 270,Disciplinary Board v. Dosch (Consol. w/ 940311 through 940315),Levine,Per Curiam
11838,527 N.W.2d 274,Disciplinary Board v. Bailey   (Consol. w/940361; 940396-940397),Levine,Per Curiam
11979,536 N.W.2d 661,State v. Clinkscales,(none),"Levine, Beryl"
11870,529 N.W.2d 870,"District Judge Vacancy, Linton, South Central Judicial District",Levine,Per Curiam
11956,534 N.W.2d 816,Judicial Conduct Commission v. Grenz,Levine,Per Curiam
11899,530 N.W.2d 645,Zahn v. Graff,VandeWalle,Per Curiam
